isin,name,ticker
IE00BGSF1X88,"iShares USD Treasury Bond 0-1yr UCITS ETF (Acc)",IBC1
IE00B6QGFW01,"iShares Emerging Asia Local Government Bond UCITS ETF",IS0S
IE00BZ163G84,"Vanguard EUR Corporate Bond UCITS ETF Distributing",VECP
IE00B3VTML14,"iShares Euro Government Bond 3-7yr UCITS ETF (Acc)",SXRP
IE00BH04GL39,"Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating",VGEA
IE0008U15456,"iShares Core EUR Government Bond UCITS ETF EUR (Acc)",IEGS
IE00B3VWN393,"iShares USD Treasury Bond 3-7yr UCITS ETF (Acc)",SXRL
IE00BGYWFS63,"Vanguard USD Treasury Bond UCITS ETF Accumulating",VAGT
